C,Q,A
"Спортсмен Михаил временно переведен из спортивной школы ""Спартак"" в спортивную школу ""Динамо"" на срок одного года. В спортивной школе ""Динамо"" ему предложили работу по совместительству в качестве спортсмена. Михаил хочет узнать, нужно ли ему получить разрешение от работодателя по основному месту работы (спортивная школа ""Спартак"") и от работодателя по временному месту работы (спортивная школа ""Динамо"") для работы по совместительству.","Нужно ли спортсмену Михаилу получить разрешение от работодателя по основному месту работы и от работодателя по временному месту работы для работы по совместительству в спортивной школе ""Динамо""?","Да, спортсмену Михаилу необходимо получить разрешение от работодателя по основному месту работы (спортивная школа ""Спартак"") и от работодателя по временному месту работы (спортивная школа ""Динамо"") для работы по совместительству. В период временного перевода спортсмена к другому работодателю требуется получить разрешение на работу по совместительству как у работодателя по месту временной работы, так и у работодателя, с которым первоначально заключен трудовой договор.
Приведу цитату из документа: ""В период временного перевода спортсмена к другому работодателю (статья 348.4 настоящего Кодекса) разрешение на работу по совместительству необходимо получить как у работодателя по месту временной работы, так и у работодателя, с которым первоначально заключен трудовой договор."" (Статья 348.7 Трудовой Кодекс РФ)"
"Родители спортсмена Максима, 13 лет, хотят заключить трудовой договор с клубом для его участия в спортивных мероприятиях. Они обратились к адвокату, чтобы узнать о возможности заключения такого договора и условиях, которые должны быть учтены.","Какие условия должны быть указаны в разрешении органа опеки и попечительства для заключения трудового договора со спортсменом, не достигшим возраста четырнадцати лет?","В разрешении органа опеки и попечительства должны быть указаны максимально допустимая продолжительность ежедневной работы спортсмена, не достигшего возраста четырнадцати лет, и другие условия, в которых он может выполнять работу без ущерба для своего здоровья и нравственного развития. ""В разрешении органа опеки и попечительства указываются максимально допустимая продолжительность ежедневной работы спортсмена, не достигшего возраста четырнадцати лет, и другие условия, в которых он может выполнять работу без ущерба для своего здоровья и нравственного развития"" (Статья 348.8 Трудовой Кодекс РФ)."
"Женщина-спортсмен обратилась к адвокату, так как ее работодатель требует от нее превышать предельно допустимые нормы нагрузок при подъеме и перемещении тяжестей вручную во время работы. Женщина-спортсмен хочет узнать, может ли работодатель требовать от нее такого превышения норм.",Может ли работодатель требовать от женщины-спортсмена превышать предельно допустимые нормы нагрузок при подъеме и перемещении тяжестей вручную во время работы?,"Нет, работодатель не может требовать от женщины-спортсмена превышать предельно допустимые нормы нагрузок при подъеме и перемещении тяжестей вручную во время работы. Это допускается только во время участия в спортивных мероприятиях и при соблюдении условий, описанных в статье 348.9 Трудового Кодекса РФ.
Подтверждение: ""Во время участия в спортивных мероприятиях допускается превышение женщиной-спортсменом предельно допустимых норм нагрузок при подъеме и перемещении тяжестей вручную... если это необходимо в соответствии с планом подготовки женщины-спортсмена к спортивным соревнованиям и применяемые нагрузки не запрещены ей по состоянию здоровья в соответствии с медицинским заключением"" (Трудовой Кодекс РФ)."
"Максим является профессиональным боксером и заключил трудовой договор с боксерским клубом. Во время одного из боев Максим получил травму, которая привела к его полной нетрудоспособности. Клуб хочет расторгнуть трудовой договор с Максимом, так как он больше не может заниматься спортом. Клуб обратился к юристу за помощью.",Могут ли клубы использовать полную нетрудоспособность спортсмена в качестве основания для прекращения трудового договора?,"Полная нетрудоспособность спортсмена не является прямым основанием для прекращения трудового договора со спортсменом. Однако, если спортсмен не может выполнять свои профессиональные обязанности в связи с полной нетрудоспособностью, это может стать основанием для расторжения трудового договора по инициативе одной из сторон. В таком случае, клуб должен соблюдать процедуру, предусмотренную Трудовым Кодексом РФ. ""[...] основаниями прекращения трудового договора со спортсменом могут быть: основания, предусмотренные настоящим Кодексом и иными федеральными законами"" (Трудовой Кодекс РФ)."
"Михаил работает тренером по футболу в спортивной школе. Он был признан виновным в нарушении антидопинговых правил и дисквалифицирован на два года. Руководство школы обратилось к адвокату, чтобы узнать, какие последствия это может иметь для трудового договора с Михаилом.",Какие последствия может иметь для тренера трудовой договор дисквалификации из-за нарушения антидопинговых правил?,"В случае, когда тренер признан виновным в нарушении антидопинговых правил и дисквалифицирован, это может служить основанием для прекращения трудового договора с тренером. Дисквалификация является признанным нарушением по решению соответствующей антидопинговой организации и может привести к прекращению трудового договора. ""Трудовой Кодекс РФ, Часть 4 / Раздел 12 / Глава 54.1 / Статья 348.11-1."""
"Спортсмен Михаил хочет перейти из одного спортивного клуба в другой. Однако, в его трудовом договоре с текущим клубом указано, что он должен предупредить о расторжении договора за шесть месяцев. Михаил считает, что это условие ограничивает его право на свободный выбор места работы.",Может ли спортсмен быть ограничен в переходе в другой спортивный клуб из-за условия о сроке предупреждения о расторжении трудового договора?,"Да, спортсмен может быть ограничен в переходе в другой спортивный клуб из-за условия о сроке предупреждения о расторжении трудового договора. Согласно статье 348.12 Трудового Кодекса РФ: ""если нормами, утвержденными общероссийскими спортивными федерациями по соответствующим виду или видам спорта, для этих категорий спортсменов, тренеров установлены ограничения перехода (условия перехода) в другие спортивные клубы или иные физкультурно-спортивные организации, предусматривающие сроки предупреждения о переходе, превышающие один месяц"", то спортсмен должен соблюдать эти ограничения и предупредить о расторжении договора в установленный срок. Таким образом, Михаил должен предупредить текущий клуб о расторжении договора за шесть месяцев, если такое условие указано в его трудовом договоре."
"Профессиональный союз спортсменов обратился к адвокату с просьбой о помощи в решении трудового спора между спортсменом и его работодателем. Союз утверждает, что работодатель нарушил условия трудового договора, не предоставив спортсмену необходимые условия для тренировок и соревнований.",Кто может подать исковое заявление на рассмотрение индивидуальных трудовых споров спортсменов и тренеров в арбитраже?,"Исковое заявление на рассмотрение индивидуальных трудовых споров спортсменов и тренеров в арбитраже может быть подано работодателем, спортсменом, тренером или профессиональным союзом, представляющим интересы спортсмена или тренера. ""В арбитраже (третейском разбирательстве), администрируемом постоянно действующим арбитражным учреждением, указанным в части первой настоящей статьи, рассматриваются индивидуальные трудовые споры спортсменов, тренеров по исковому заявлению работодателя, спортсмена, тренера либо профессионального союза, представляющего интересы спортсмена или тренера."" (Трудовой Кодекс РФ)"
"Работник государственной корпорации, публично-правовой компании или государственной компании, Мария Петрова, получила предложение о возможности быть поверенным по делам третьих лиц в государственной компании. Она хочет узнать, может ли она принять это предложение.","Может ли работник государственной корпорации, публично-правовой компании или государственной компании быть поверенным или представителем по делам третьих лиц в государственной компании?","Нет, работнику государственной корпорации, государственной компании или публично-правовой компании запрещается быть поверенным или представителем по делам третьих лиц в государственной корпорации, государственной компании или публично-правовой компании, за исключением осуществления такой деятельности с согласия высшего органа управления государственной корпорации, государственной компании или публично-правовой компании: ""[quote]"" (Трудовой Кодекс РФ)."
"Дмитрий работает в организации, созданной Российской Федерацией на основании федеральных законов для выполнения задач, поставленных перед федеральными государственными органами. Он является родителем несовершеннолетнего ребенка. Дмитрий хочет узнать, запрещено ли ему владеть иностранными финансовыми инструментами.","Запрещено ли Дмитрию, родителю несовершеннолетнего ребенка, владеть иностранными финансовыми инструментами?","Да, Дмитрию, родителю несовершеннолетнего ребенка, запрещено владеть иностранными финансовыми инструментами. Согласно статье 349.2 Трудового Кодекса РФ, на работников Фонда пенсионного и социального страхования Российской Федерации, Федерального фонда обязательного медицинского страхования, иных организаций, созданных Российской Федерацией на основании федеральных законов, их супругам и несовершеннолетним детям запрещается открывать и иметь счета (вклады), хранить наличные денежные средства и ценности в иностранных банках, расположенных за пределами территории Российской Федерации, владеть и (или) пользоваться иностранными финансовыми инструментами.
Процитируем статью 349.2 Трудового Кодекса РФ: ""На работников Фонда пенсионного и социального страхования Российской Федерации, Федерального фонда обязательного медицинского страхования, иных организаций, созданных Российской Федерацией на основании федеральных законов, их супругам и несовершеннолетним детям в случаях, предусмотренных федеральным законом, запрещается открывать и иметь счета (вклады), хранить наличные денежные средства и ценности в иностранных банках, расположенных за пределами территории Российской Федерации, владеть и (или) пользоваться иностранными финансовыми инструментами."" (Трудовой Кодекс РФ)"
"Ситуация 3: Работник Михаил является руководителем государственного унитарного предприятия. Его трудовой договор был расторгнут по инициативе работодателя. Михаил хочет узнать, какой суммой должны быть ограничены выплаты при прекращении трудового договора.",Какой суммой должны быть ограничены выплаты при прекращении трудового договора Михаила?,"При прекращении трудового договора с руководителями государственных унитарных предприятий, включая Михаила, совокупный размер выплачиваемых выходных пособий, компенсаций и иных выплат не может превышать трехкратный средний месячный заработок этих работников. ""[...] совокупный размер выплачиваемых этим работникам выходных пособий, компенсаций и иных выплат в любой форме [...] не может превышать трехкратный средний месячный заработок этих работников"" (Трудовой Кодекс РФ, Статья 349.3)."
"В случае утверждения плана участия Банка России в осуществлении мер по предупреждению банкротства банка, страховой организации или негосударственного пенсионного фонда, выплата выходных пособий, компенсаций и иных выплат в связи с прекращением трудового договора не производится.",Производится ли выплата выходных пособий и компенсаций при прекращении трудового договора в случае утверждения плана участия Банка России в осуществлении мер по предупреждению банкротства банка?,"В случае утверждения плана участия Банка России в осуществлении мер по предупреждению банкротства банка, страховой организации или негосударственного пенсионного фонда, не производится выплата выходных пособий, компенсаций и иных выплат в связи с прекращением трудового договора.
Подтверждение: ""В случае утверждения плана участия Банка России в осуществлении мер по предупреждению банкротства банка, страховой организации или негосударственного пенсионного фонда лицам, указанным в части первой настоящей статьи, выплата выходных пособий, компенсаций и иных выплат в связи с прекращением трудового договора не производится."" (Трудовой Кодекс РФ, Статья 349.4)"
Описание ситуации: Алексей работает в государственном унитарном предприятии и хочет узнать информацию о среднемесячной заработной плате главного бухгалтера этого предприятия.,Как Алексею получить информацию о среднемесячной заработной плате главного бухгалтера государственного унитарного предприятия?,"Алексей может получить информацию о среднемесячной заработной плате главного бухгалтера государственного унитарного предприятия на официальном сайте этого предприятия в информационно-телекоммуникационной сети ""Интернет"". ""Информация, предусмотренная частью первой настоящей статьи, может по решению государственных органов, органов местного самоуправления, организаций, осуществляющих функции и полномочия учредителя указанных в части первой настоящей статьи фондов, учреждений, предприятий, размещаться в информационно-телекоммуникационной сети ""Интернет"" на официальных сайтах указанных фондов, учреждений, предприятий"" (Статья 349.5 Трудовой Кодекс РФ)."
"Сотрудник государственного органа, замещающий должность, не сообщил своему работодателю о том, что он получил гражданство другого государства, и его трудовой договор был прекращен. Он хочет узнать, применяется ли к нему часть вторая статьи 83 Трудового кодекса РФ.","Применяется ли к сотруднику государственного органа часть вторая статьи 83 Трудового кодекса РФ, если он не сообщил о получении гражданства другого государства?","Нет, если сотрудник государственного органа не сообщил в установленном порядке о том, что не имеет гражданства Российской Федерации или имеет гражданство (подданство) иностранного государства либо вид на жительство или иной документ, подтверждающий право на постоянное проживание гражданина Российской Федерации на территории иностранного государства, при прекращении с ним трудового договора часть вторая статьи 83 Трудового кодекса РФ не применяется. Согласно Трудовому кодексу РФ, статья 349.6: ""Если указанный работник не сообщил в установленном порядке о том, что не имеет гражданства Российской Федерации или имеет гражданство (подданство) иностранного государства либо вид на жительство или иной документ, подтверждающий право на постоянное проживание гражданина Российской Федерации на территории иностранного государства, при прекращении с ним трудового договора часть вторая статьи 83 настоящего Кодекса не применяется."""
"Врач работает в больнице и хочет узнать, может ли ему быть предоставлен ежегодный дополнительный оплачиваемый отпуск.",Может ли врачу быть предоставлен ежегодный дополнительный оплачиваемый отпуск?,"Да, врачу может быть предоставлен ежегодный дополнительный оплачиваемый отпуск. Статья 350 Трудового Кодекса РФ говорит о том, что отдельным категориям медицинских работников может быть предоставлен ежегодный дополнительный оплачиваемый отпуск, продолжительность которого устанавливается Правительством Российской Федерации."
"В организации кинематографии актеры Владимир и Елена приняли решение не участвовать в создании и исполнении фильма, так как не согласны с его сценарием. Они обратились к адвокату, чтобы узнать, будет ли им оплачиваться время, когда они не участвуют в создании фильма.","Будет ли оплачиваться время, когда Владимир и Елена не участвуют в создании и исполнении фильма из-за несогласия с его сценарием?","Время, когда Владимир и Елена не участвуют в создании и исполнении фильма из-за несогласия с его сценарием, будет оплачиваться в размере и порядке, установленных коллективным договором, локальным нормативным актом или трудовым договором. ""Время, в течение которого творческие работники по своей инициативе не участвуют в создании и (или) исполнении (экспонировании) произведений или не выступают, оплачивается в размере и порядке, которые устанавливаются коллективным договором, локальным нормативным актом, трудовым договором"" (Статья 351 Трудовой Кодекс РФ)."
"Медицинская сестра, Елена Смирнова, хочет устроиться на работу в детскую поликлинику. Однако у нее имеется судимость за клевету. Елена Смирнова хочет узнать, может ли она быть допущена к трудовой деятельности в медицинской сфере, связанной с оказанием помощи несовершеннолетним.","Может ли Елена Смирнова быть допущена к трудовой деятельности в медицинской сфере, связанной с оказанием помощи несовершеннолетним, если у нее имеется судимость за клевету?","Нет, Елена Смирнова не может быть допущена к трудовой деятельности в медицинской сфере, связанной с оказанием помощи несовершеннолетним, если у нее имеется судимость за клевету. Согласно Трудовому Кодексу РФ, лица, имевшие судимость за совершение преступлений против жизни и здоровья, свободы, чести и достоинства личности, семьи и несовершеннолетних, здоровья населения и общественной нравственности, основ конституционного строя и безопасности государства, мира и безопасности человечества, а также против общественной безопасности, не могут быть допущены к трудовой деятельности в медицинской сфере, связанной с оказанием помощи несовершеннолетним. ""[place quote here]"" (Трудовой Кодекс РФ)."
"Михаил работает в компании, которая решила изменить его должностные обязанности без предварительного согласования с ним. Михаил считает, что такое изменение является нарушением его прав и хочет обратиться к адвокату для защиты своих интересов.",Может ли работодатель изменить должностные обязанности работника без его согласия?,"Работодатель не может изменять должностные обязанности работника без его согласия. Согласно Трудовому Кодексу РФ, статья 351.2: ""Работодатель не вправе изменять условия труда работника без его согласия"" (Трудовой Кодекс РФ)."
"Иван работает экспертом по специальной оценке условий труда в государственной организации. Он прошел аттестацию и получил сертификат эксперта. Однако, его начальник требует от него выполнить работу, которая выходит за рамки его компетенции и не связана с проведением специальной оценки условий труда. Иван хочет узнать, может ли он отказаться от выполнения такой работы.","Может ли работник, прошедший аттестацию на право выполнения работ по специальной оценке условий труда, отказаться от выполнения работ, не связанных с проведением специальной оценки условий труда?","Работник, прошедший аттестацию на право выполнения работ по специальной оценке условий труда, может отказаться от выполнения работ, не связанных с проведением специальной оценки условий труда. ""[...] Порядок аттестации и особенности регулирования труда указанной категории работников устанавливаются законодательством о специальной оценке условий труда"" (Трудовой Кодекс РФ)."
"Иван работает помощником нотариуса в частной нотариальной конторе. Он уже несколько месяцев не получает зарплату и хочет обратиться к юристу, чтобы узнать, какие дополнительные основания прекращения трудового договора с помощником, работником нотариуса могут быть применены в случае неуплаты заработной платы.","Могут ли быть применены дополнительные основания прекращения трудового договора с помощником, работником нотариуса в случае неуплаты заработной платы?","Дополнительные основания прекращения трудового договора с помощником, работником нотариуса могут быть применены в случае неуплаты заработной платы. ""[place quote here]"" (Трудовой Кодекс РФ)"
"Компания ""СтройПроект"" является резидентом территории опережающего развития и хочет принять на работу иностранного гражданина и гражданина Российской Федерации. Оба кандидата имеют одинаковые квалификации и опыт работы. Компания обратилась к адвокату с вопросом о приоритете при приеме на работу.",Какой приоритет имеют граждане Российской Федерации при приеме на работу резидентами территории опережающего развития?,"При прочих равных условиях, приоритет имеют граждане Российской Федерации. Это предусмотрено в статье 351.5 Трудового кодекса Российской Федерации: ""при приеме на работу, при прочих равных условиях, приоритет имеют граждане Российской Федерации."""
"В компании ""Безопасные сооружения"" работает сотрудник Сидоров, который занимается обслуживанием гидротехнических сооружений. Сидоров прошел аттестацию по вопросам безопасности гидротехнических сооружений, но не прошел аттестацию в области промышленной безопасности.","Может ли работник Сидоров осуществлять трудовую деятельность в области безопасности гидротехнических сооружений, не прошедши аттестацию в области промышленной безопасности?","Работник Сидоров не может осуществлять трудовую деятельность в области безопасности гидротехнических сооружений, если он не прошел аттестацию в области промышленной безопасности. Согласно Трудовому Кодексу РФ: ""В случаях, предусмотренных законодательством в области промышленной безопасности, законодательством о безопасности гидротехнических сооружений, к трудовой деятельности в области промышленной безопасности, области безопасности гидротехнических сооружений допускаются лица, прошедшие аттестацию в соответствующих областях"" (Статья 351.6). Таким образом, аттестация в области промышленной безопасности является обязательным требованием для работников в области безопасности гидротехнических сооружений."
"Иван работает на стройке, где его работодатель не обеспечивает безопасные условия труда. Иван хочет узнать, как он может защитить свои трудовые права и свободы в случае нарушения безопасности на рабочем месте.",Какими способами Иван может защитить свои трудовые права и свободы в случае нарушения безопасности на рабочем месте?,"Иван может использовать следующие способы защиты своих трудовых прав и свобод в случае нарушения безопасности на рабочем месте: самозащита, обращение в профессиональный союз, обращение в федеральный государственный контроль и судебная защита.
Документ говорит: ""Основными способами защиты трудовых прав и свобод являются: самозащита работниками трудовых прав; защита трудовых прав и законных интересов работников профессиональными союзами; федеральный государственный контроль (надзор) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права; судебная защита."" (Трудовой Кодекс РФ)"
"Дмитрий работает на стройке и столкнулся с опасными условиями труда, которые не соответствуют нормам безопасности. Он хочет обратиться к адвокату, чтобы узнать, какие законы регулируют федеральный государственный контроль за соблюдением трудового законодательства.",Как регулируется организация и осуществление федерального государственного контроля за соблюдением трудового законодательства и иных нормативных правовых актов?,"Организация и осуществление федерального государственного контроля (надзора) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, регулируются законодательством Российской Федерации о государственном контроле (надзоре), муниципальном контроле. ""[...] Организация и осуществление федерального государственного контроля (надзора) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, регулируются законодательством Российской Федерации о государственном контроле (надзоре), муниципальном контроле."" (Трудовой Кодекс РФ, Статья 353)"
"Дмитрий работает в государственном учреждении. Он обратился к адвокату, так как его работодатель нарушает трудовое законодательство, устанавливая неравные условия оплаты труда для мужчин и женщин.",Какие органы осуществляют ведомственный контроль за соблюдением трудового законодательства и норм трудового права в государственных учреждениях?,"Ведомственный контроль за соблюдением трудового законодательства и норм трудового права в государственных учреждениях осуществляют федеральные органы исполнительной власти и органы исполнительной власти субъектов Российской Федерации. ""[...] в порядке и на условиях, определяемых законами Российской Федерации и законами субъектов Российской Федерации"" (Трудовой Кодекс РФ)."
"Михаил работает на стройке и получил серьезную травму в результате несчастного случая на работе. Он хочет обратиться к адвокату, чтобы узнать о своих правах на компенсацию и медицинское обслуживание.",Как Федеральная инспекция труда может помочь Михаилу в случае несчастного случая на работе?,"Федеральная инспекция труда имеет полномочия проводить проверки на предприятиях и выявлять нарушения трудового законодательства, включая случаи несчастных случаев на работе. Если Михаил обратится в Федеральную инспекцию труда, они смогут провести проверку на стройке и принять меры по восстановлению его прав. ""[...] проведение федерального государственного контроля (надзора) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права [...]"" (Трудовой Кодекс РФ)."
